jogo_id,titulo,data_lancamento,win,mac,linux,avaliacao,feedback_positivo,qtd_avaliacoes,preco_final,preco_original,desconto,descricao,tags
335300,DARK SOULS™ II: Scholar of the First Sin,2015-04-01,True,False,False,Very Positive,85,57116,39.99,39.99,0.0,"DARK SOULS™ II: Scholar of the First Sin brings the franchise’s renowned obscurity & gripping gameplay to a new level. Join the dark journey and experience overwhelming enemy encounters, diabolical hazards, and unrelenting challenge.","['Souls-like', 'Dark Fantasy', 'RPG', 'Difficult', 'Action', 'Third Person', 'Atmospheric', 'Action RPG', 'Character Customization', 'Co-op', 'Multiplayer', 'Adventure', 'Fantasy', 'Medieval', 'Dark', 'Singleplayer', 'Lore-Rich', 'Story Rich', 'PvP', 'Remake']"
346110,ARK: Survival Evolved,2017-08-27,True,True,False,Very Positive,83,465818,19.99,19.99,0.0,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!","['Open World Survival Craft', 'Survival', 'Open World', 'Multiplayer', 'Dinosaurs', 'Crafting', 'Building', 'Adventure', 'Base Building', 'Co-op', 'Action', 'First-Person', 'Sandbox', 'Massively Multiplayer', 'Singleplayer', 'Early Access', 'RPG', 'Dragons', 'Sci-fi', 'Indie']"
695290,The Golf Club™ 2019 featuring PGA TOUR,2018-08-28,True,False,False,Mostly Positive,73,1628,49.99,49.99,0.0,"Do you have what it takes to win PGA TOUR’s FedExCup? Compete in the all new officially licensed PGA TOUR Career mode. Play on famous courses like TPC Boston, TPC Sawgrass and more.","['Sports', 'Simulation', 'Strategy', 'Indie', 'Golf']"
1085660,Destiny 2,2019-10-01,True,False,False,Very Positive,83,519754,0.0,0.0,0.0,"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.","['Free to Play', 'Open World', 'FPS', 'Looter Shooter', 'MMORPG', 'PvP', 'Co-op', 'PvE', 'Shooter', 'First-Person', 'Massively Multiplayer', 'Multiplayer', 'Sci-fi', 'Loot', 'Action', 'Lore-Rich', 'Space', 'Adventure', 'Competitive', 'Atmospheric']"
1332010,Stray,2022-07-19,True,False,False,Overwhelmingly Positive,97,101109,29.99,29.99,0.0,"Lost, alone and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten cybercity and find their way home.","['Cats', 'Adventure', 'Cyberpunk', 'Atmospheric', 'Cute', 'Singleplayer', 'Exploration', 'Robots', 'Third Person', 'Beautiful', 'Horror', 'Puzzle', 'Sci-fi', 'Indie', 'Dystopian', 'Mystery', 'Open World', 'Colorful', 'Action', 'Stealth']"
1380910,Stardeus,2022-10-12,True,True,True,Very Positive,89,697,29.99,29.99,0.0,"Stardeus is a deep colony sim set on a broken starship manned by drones and hibernating human survivors. As the AI, have your drones repair your ship, save your crew and travel the stars in this beautiful simulation.","['Early Access', 'Base Building', 'Colony Sim', 'Strategy', 'Survival', 'Resource Management', 'Space', 'Crafting', 'Moddable', 'Space Sim', 'God Game', 'Simulation', 'Procedural Generation', 'Sandbox', 'Management', 'Science', 'Automation', 'Building', 'Immersive Sim', 'Time Management']"
1510460,Chicken Invaders Universe,2022-12-15,True,False,False,Very Positive,91,2152,0.0,0.0,0.0,"A deliciously addictive core of finger-blistering shooting action, surrounded by delectable morsels of galactic exploration, spacecraft customization, and community competitions.","['Shooter', ""Shoot 'Em Up"", 'Top-Down Shooter', 'Action', 'Family Friendly', 'Old School', 'Casual', 'Space', 'Arcade', '2D', 'Parody', 'Cartoony', 'Cute', 'Comedy', 'Top-Down', 'Futuristic', 'Retro', 'Sci-fi', 'Aliens', 'Combat']"
40800,Super Meat Boy,2010-11-30,True,True,True,Very Positive,94,22634,14.99,14.99,0.0,"The infamous, tough-as-nails platformer comes to Steam with a playable Head Crab character (Steam-exclusive)!","['Precision Platformer', 'Platformer', 'Difficult', 'Indie', '2D Platformer', 'Pixel Graphics', '2D', 'Singleplayer', 'Great Soundtrack', 'Fast-Paced', 'Retro', 'Controller', 'Unforgiving', 'Gore', 'Action', 'Time Attack', 'Funny', 'Comedy', 'Side Scroller', 'Replay Value']"
284770,Enigmatis 2: The Mists of Ravenwood,2014-06-05,True,True,True,Overwhelmingly Positive,97,877,9.99,9.99,0.0,Enter Ravenwood Park and discover the secrets hidden in the mists…,"['Hidden Object', 'Casual', 'Adventure', 'Point & Click', 'Puzzle', 'Horror', 'Female Protagonist', 'Mystery', 'Singleplayer', 'Story Rich', 'Atmospheric', 'Detective', 'Fantasy', 'Indie', 'Great Soundtrack', '2D', 'Family Friendly']"
294540,Freddi Fish 3: The Case of the Stolen Conch Shell,2014-05-15,True,True,True,Very Positive,95,220,6.99,6.99,0.0,The Great Conch Shell has been stolen and it's up to Freddi Fish and Luther to catch the culprit!,"['Adventure', 'Casual', 'Point & Click', 'Family Friendly', 'Singleplayer', 'Nostalgia', 'Education']"
